Mg,Al,RI,K,Ca,Na,Type
2.81,1.29,1.51778,0.51,9.02,13.21,1
2.71,1.29,1.51769,0.56,9.06,12.45,1
3.48,1.29,1.51824,0.6,8.43,12.87,1
3.74,1.17,1.51754,0.59,8.03,13.48,1
3.66,1.19,1.51754,0.57,8.27,13.39,1
3.62,1.11,1.51905,0.14,8.76,13.6,1
3.58,1.32,1.51977,0.12,8.67,13.81,1
3.86,0.88,1.52172,0.23,9.54,13.51,1
3.81,0.78,1.52227,0.0,9.69,14.17,1
3.74,0.9,1.52172,0.18,9.61,13.48,1
3.59,1.12,1.52099,0.09,9.4,13.69,1
3.65,0.87,1.52152,0.19,9.85,13.05,1
3.65,0.87,1.52152,0.19,9.85,13.05,1
3.58,0.9,1.52152,0.23,9.82,13.12,1
3.58,0.82,1.523,0.12,10.17,13.31,1
3.67,1.74,1.51574,0.16,7.36,14.86,2
3.59,1.52,1.51593,0.67,7.83,13.09,2
3.57,1.57,1.51631,0.61,7.89,13.34,2
3.56,1.54,1.51596,0.72,7.9,13.02,2
3.58,1.51,1.5159,0.69,7.96,13.02,2
3.61,1.54,1.51645,0.66,8.03,13.44,2
3.58,1.54,1.51627,0.61,8.04,13.0,2
3.52,1.25,1.51613,0.37,7.94,13.92,2
3.52,1.9,1.5159,0.69,7.97,12.82,2
3.52,2.12,1.51592,0.69,7.97,12.86,2
3.45,1.43,1.51593,0.61,7.86,13.25,2
3.55,1.25,1.51646,0.68,8.1,13.41,2
3.52,1.55,1.51594,0.68,8.05,13.09,2
3.09,2.08,1.51409,1.1,7.08,14.25,2
3.58,1.49,1.51625,0.45,8.21,13.36,2
3.49,1.47,1.51569,0.38,8.03,13.24,2
3.49,1.52,1.51645,0.67,8.08,13.4,2
3.5,1.48,1.51618,0.6,8.12,13.01,2
3.48,1.87,1.5164,0.63,8.08,12.55,2
3.74,1.11,1.51841,0.64,8.96,12.93,2
3.44,1.45,1.51605,0.44,8.27,12.9,2
3.41,1.58,1.51588,0.07,8.39,13.12,2
3.34,1.47,1.5159,0.39,8.22,13.24,2
3.33,1.49,1.51629,0.67,8.24,12.71,2
3.43,1.43,1.5186,0.51,8.6,13.36,2
3.62,1.06,1.51841,0.64,9.13,13.02,2
3.25,1.16,1.51743,0.62,8.9,12.2,2
2.88,1.71,1.51689,0.73,8.54,12.67,2
2.96,1.43,1.51811,0.6,8.79,12.96,2
2.85,1.44,1.51655,0.57,8.79,12.75,2
2.72,1.63,1.5173,0.7,9.23,12.35,2
2.76,0.83,1.5182,0.35,9.42,12.62,2
2.9,1.17,1.5241,0.08,10.79,13.83,2
0.0,1.0,1.52222,0.1,11.52,14.43,2
3.83,1.26,1.51892,0.57,8.21,13.46,2
3.97,1.19,1.51847,0.6,8.43,13.1,2
3.89,1.33,1.51846,0.51,8.28,13.41,2
3.9,1.41,1.51829,0.55,8.31,13.24,2
3.68,1.81,1.51708,0.64,7.88,13.72,2
3.57,1.47,1.51652,0.64,7.96,13.56,2
3.76,1.32,1.51844,0.58,8.42,13.25,2
3.54,1.62,1.51663,0.64,8.03,12.93,2
3.54,1.48,1.51687,0.56,8.1,13.23,2
3.48,1.71,1.51707,0.62,7.99,13.48,2
3.68,1.15,1.52177,0.54,8.52,13.2,2
3.66,1.56,1.51872,0.58,8.55,12.93,2
3.61,1.26,1.51667,0.56,8.6,12.94,2
2.28,1.43,1.52081,0.49,9.85,13.78,2
2.09,1.67,1.52068,0.53,9.57,13.55,2
1.35,1.63,1.5202,0.39,10.56,13.98,2
1.01,1.36,1.52177,0.33,11.14,13.75,2
3.98,1.18,1.51813,0.58,8.15,13.43,2
3.93,1.54,1.518,0.54,8.21,13.71,2
3.85,1.25,1.51811,0.52,8.12,13.33,2
3.8,1.08,1.51806,0.56,8.38,13.0,2
3.62,1.57,1.51711,0.61,8.11,12.89,2
3.52,1.54,1.51674,0.66,7.9,12.79,2
3.56,1.64,1.51674,0.65,7.99,12.87,2
3.54,1.61,1.5169,0.68,8.11,13.33,2
3.63,1.07,1.51851,0.57,8.41,13.2,2
3.51,1.44,1.51662,0.68,8.23,12.85,2
3.47,1.79,1.51709,0.66,8.18,13.0,2
3.18,1.23,1.5166,0.58,8.81,12.99,2
3.66,1.11,1.51769,0.11,8.6,13.65,3
3.53,1.34,1.5161,0.56,8.33,13.33,3
3.57,1.38,1.5167,0.56,8.44,13.24,3
3.52,1.35,1.51643,0.57,8.53,12.16,3
3.45,1.76,1.51665,0.6,8.38,13.14,3
3.9,0.83,1.52127,0.0,9.49,14.32,3
3.65,0.65,1.51779,0.06,8.93,13.64,3
3.4,1.22,1.5161,0.59,8.32,13.42,3
3.58,1.31,1.51694,0.61,8.79,12.86,3
3.4,1.26,1.51646,0.52,8.58,13.04,3
3.39,1.28,1.51655,0.52,8.65,13.41,3
3.76,0.58,1.52121,0.11,9.65,14.03,3
3.41,1.52,1.51776,0.58,8.79,13.53,3
3.36,1.63,1.51796,0.57,8.81,13.5,3
3.34,1.54,1.51832,0.56,8.99,13.33,3
3.54,0.75,1.51934,0.16,8.89,13.64,3
1.85,1.86,1.51915,0.6,10.09,12.73,5
0.0,1.65,1.51969,0.38,11.53,12.64,5
0.0,1.83,1.51666,0.97,10.17,12.86,5
0.0,1.76,1.51994,0.47,11.32,13.27,5
2.39,1.56,1.51905,0.0,9.57,14.0,6
2.41,1.19,1.51937,0.0,9.77,13.79,6
2.24,1.62,1.51829,0.0,9.26,14.46,6
2.19,1.66,1.51852,0.0,9.32,14.09,6
0.78,1.74,1.51888,0.0,9.95,14.99,6
0.0,2.09,1.51916,0.0,10.88,14.15,6
0.0,0.56,1.51969,0.0,11.22,14.56,6
3.34,1.23,1.52315,0.6,8.83,13.44,7
1.78,1.79,1.51613,0.0,8.67,13.88,7
0.0,2.38,1.51602,0.0,8.76,14.85,7
0.0,2.34,1.51727,0.0,8.95,14.7,7
0.0,2.42,1.51514,0.0,8.39,14.85,7
0.0,2.27,1.51617,0.0,8.71,14.95,7
